Phones,Price,Discount
"Infinix HOT 12 Play (Horizon Blue, 64 GB)","8,699",27% 
"Infinix HOT 12 Play (Daylight Green, 64 GB)","8,699",27% 
"POCO C31 (Royal Blue, 64 GB)","9,999",16% 
"REDMI 9i Sport (Metallic Blue, 64 GB)","8,799",12% 
"Infinix HOT 12 Play (Racing Black, 64 GB)","8,699",27% 
"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","11,999",20% 
"OPPO K10 5G (Ocean Blue, 128 GB)","17,499",32% 
"REDMI 10 (Pacific Blue, 64 GB)","10,499",30% 
"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","11,999",20% 
"REDMI Note 10S (Cosmic Purple, 64 GB)","12,999",23% 
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","11,499",11% 
"REDMI Note 10S (Deep Sea Blue, 64 GB)","12,999",23% 
"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","13,999",17% 
"MOTOROLA e40 (Carbon Gray, 64 GB)","9,999",9% 
"REDMI Note 10S (Shadow Black, 64 GB)","12,999",23% 
"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","13,999",17% 
"REDMI Note 10T 5G (Metallic Blue, 64 GB)","11,999",29% 
"REDMI 10 (Caribbean Green, 64 GB)","10,499",30% 
"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","11,499",11% 
"REDMI 9i Sport (Coral Green, 64 GB)","8,799",12% 
"realme C35 (Glowing Green, 64 GB)","11,999",14% 
"realme C35 (Glowing Black, 64 GB)","11,999",14% 
"REDMI 9i Sport (Carbon Black, 64 GB)","8,799",12% 
"REDMI Note 10S (Frost White, 64 GB)","12,999",23% 
